disease,url
Abortion,https://www.who.int/news-room/fact-sheets/detail/abortion
Abuse of older people,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Adolescent and young adult health,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent pregnancy,https://www.who.int/news-room/fact-sheets/detail/adolescent-pregnancy
Ageing and health,https://www.who.int/news-room/fact-sheets/detail/ageing-and-health
Alcohol,https://www.who.int/news-room/fact-sheets/detail/alcohol
Ambient (outdoor) air pollution,https://www.who.int/news-room/fact-sheets/detail/ambient-(outdoor)-air-quality-and-health
Anaemia,https://www.who.int/news-room/fact-sheets/detail/anaemia
Animal bites,https://www.who.int/news-room/fact-sheets/detail/animal-bites
Antimicrobial resistance,https://www.who.int/news-room/fact-sheets/detail/antimicrobial-resistance
Anxiety disorders,https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders
Arsenic,https://www.who.int/news-room/fact-sheets/detail/arsenic
Asbestos,https://www.who.int/news-room/fact-sheets/detail/asbestos
Assistive technology,https://www.who.int/news-room/fact-sheets/detail/assistive-technology
Asthma,https://www.who.int/news-room/fact-sheets/detail/asthma
Autism,https://www.who.int/news-room/fact-sheets/detail/autism-spectrum-disorders
Bacterial vaginosis,https://www.who.int/news-room/fact-sheets/detail/bacterial-vaginosis
Biodiversity,https://www.who.int/news-room/fact-sheets/detail/biodiversity
Bipolar disorder,https://www.who.int/news-room/fact-sheets/detail/bipolar-disorder
Blindness and vision impairment,https://www.who.int/news-room/fact-sheets/detail/blindness-and-visual-impairment
Blood safety and availability,https://www.who.int/news-room/fact-sheets/detail/blood-safety-and-availability
Botulism,https://www.who.int/news-room/fact-sheets/detail/botulism
Breast cancer,https://www.who.int/news-room/fact-sheets/detail/breast-cancer
Brucellosis,https://www.who.int/news-room/fact-sheets/detail/brucellosis
Burns,https://www.who.int/news-room/fact-sheets/detail/burns
Buruli ulcer (Mycobacterium ulcerans infection),https://www.who.int/news-room/fact-sheets/detail/buruli-ulcer-(mycobacterium-ulcerans-infection)
Campylobacter,https://www.who.int/news-room/fact-sheets/detail/campylobacter
Cancer,https://www.who.int/news-room/fact-sheets/detail/cancer
Candidiasis (yeast infection),https://www.who.int/news-room/fact-sheets/detail/candidiasis-(yeast-infection)
Cardiovascular diseases (CVDs),https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases-(cvds)
Cervical cancer,https://www.who.int/news-room/fact-sheets/detail/cervical-cancer
Chagas disease (also known as American trypanosomiasis),https://www.who.int/news-room/fact-sheets/detail/chagas-disease-(american-trypanosomiasis)
Chikungunya,https://www.who.int/news-room/fact-sheets/detail/chikungunya
Child maltreatment,https://www.who.int/news-room/fact-sheets/detail/child-maltreatment
Child mortality (under 5 years),https://www.who.int/news-room/fact-sheets/detail/child-mortality-under-5-years
Childhood cancer,https://www.who.int/news-room/fact-sheets/detail/cancer-in-children
Chlamydia,https://www.who.int/news-room/fact-sheets/detail/chlamydia
Cholera,https://www.who.int/news-room/fact-sheets/detail/cholera
Chromoblastomycosis,https://www.who.int/news-room/fact-sheets/detail/chromoblastomycosis
Chronic obstructive pulmonary disease (COPD),https://www.who.int/news-room/fact-sheets/detail/chronic-obstructive-pulmonary-disease-(copd)
Civil registration and vital statistics,https://www.who.int/news-room/fact-sheets/detail/civil-registration-and-vital-statistics
Climate change,https://www.who.int/news-room/fact-sheets/detail/climate-change-and-health
Colorectal cancer,https://www.who.int/news-room/fact-sheets/detail/colorectal-cancer
Commercial determinants of health,https://www.who.int/news-room/fact-sheets/detail/commercial-determinants-of-health
Community-based health insurance,https://www.who.int/news-room/fact-sheets/detail/community-based-health-insurance-CBHI
Comprehensive sexuality education,https://www.who.int/news-room/fact-sheets/detail/comprehensive-sexuality-education
Condoms,https://www.who.int/news-room/fact-sheets/detail/condoms
Congenital disorders,https://www.who.int/news-room/fact-sheets/detail/birth-defects
Coronavirus disease (COVID-19),https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19)
Corporal punishment of children and health,https://www.who.int/news-room/fact-sheets/detail/corporal-punishment-and-health
Crimean-Congo haemorrhagic fever,https://www.who.int/news-room/fact-sheets/detail/crimean-congo-haemorrhagic-fever
Deafness and hearing loss,https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss
Deliberate events,https://www.who.int/news-room/fact-sheets/detail/deliberate-events
Dementia,https://www.who.int/news-room/fact-sheets/detail/dementia
Dengue,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue
Depressive disorder (depression),https://www.who.int/news-room/fact-sheets/detail/depression
